  date  ,   time  , SVP10936, SVP10936, SVP10927, SVP10927, SVP87022, SVP87022, SVP10212, SVP10212, SVP11077, SVP11077, SVP87027, SVP87027, SVP10926, SVP10926, SVP11074, SVP11074, SVP10945, SVP10945,
dd/mm/yy, hh:mm:ss, A  cm/hr, B  cm/hr, O  cm/hr, P  cm/hr, Q  cm/hr, R  cm/hr, U  cm/hr, V  cm/hr, W  cm/hr, X  cm/hr, a  cm/hr, b  cm/hr, m  cm/hr, n  cm/hr, q  cm/hr, r  cm/hr, y  cm/hr, z  cm/hr,
08/07/15, 10:00:00,     0.00,     0.00,     7.67,     6.01,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,
08/07/15, 10:30:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 11:00:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 11:30:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 12:00:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 12:30:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 13:00:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 13:30:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 14:00:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 14:30:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 15:00:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 15:30:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 16:00:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 16:30:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 17:00:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 17:30:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 18:00:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 18:30:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 19:00:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 19:30:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 20:00:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 20:30:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 21:00:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 21:30:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 22:00:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 22:30:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
08/07/15, 23:00:00,     2.37,     1.48,     7.54,     6.04,     0.00,     0.00,     2.93,     1.32,     1.22,    -0.63,     0.00,     0.00,     7.08,     4.16,     1.18,     1.32,     5.22,   -20.20,
